1300_1330vwap,935_940vwap,amount,direction,excutointime_13:00_vwap,excutointime_9:35_vwap,instrument,pnl_buy_935-940,pnl_buy_excutointime,pnl_sell_1300-1330,pnl_sell_excutointime,price,tradingday,tradingtime,volume
NaN,46.48910294,13969,BUY,NaN,46.49666134,603072.SH,-15.96726678,-14.33909261,NaN,NaN,46.56333333,20251118,09:38:01,300
NaN,12.14770366,3666,BUY,NaN,12.20273369,603399.SH,-59.51440869,-14.149539,NaN,NaN,12.22,20251118,09:37:01,300
NaN,31.29294371,44030,BUY,NaN,31.40551906,603659.SH,-50.18904304,-14.16341647,NaN,NaN,31.45,20251118,09:39:01,1400
NaN,35.45417538,10682,BUY,NaN,35.56477018,603663.SH,-43.0108125,-11.78033312,NaN,NaN,35.60666667,20251118,09:37:02,300
NaN,67.79436786,237104,BUY,NaN,67.81842959,603799.SH,7.429505456,10.97483192,NaN,NaN,67.744,20251118,09:39:01,3500
NaN,15.81524552,109124,BUY,NaN,15.81457296,603993.SH,0.109421492,-0.315847388,NaN,NaN,15.81507246,20251118,09:40:01,6900
NaN,36.49066635,179467.4,BUY,NaN,36.71239656,688005.SH,-37.08719485,23.53334671,NaN,NaN,36.626,20251118,09:39:01,4900
NaN,32.02006329,73738,BUY,NaN,32.07869485,688006.SH,-12.47240204,5.82780838,NaN,NaN,32.06,20251118,09:39:21,2300
NaN,16.0837884,16082,BUY,NaN,16.08679518,688022.SH,1.111930095,2.98081611,NaN,NaN,16.082,20251118,09:39:18,1000
NaN,113.4477621,45686,BUY,NaN,114.411225,688032.SH,-67.62917736,17.15084934,NaN,NaN,114.215,20251118,09:36:51,400
NaN,6.339498963,24145.2,BUY,NaN,6.347243171,688033.SH,-22.87410578,-10.64529707,NaN,NaN,6.354,20251118,09:39:06,3800
NaN,68.87512449,96737.2,BUY,NaN,69.00235893,688063.SH,-32.35936268,-13.86055099,NaN,NaN,69.098,20251118,09:39:23,1400
NaN,58.71951296,164673.6,BUY,NaN,58.75306671,688116.SH,-15.75064912,-10.03067452,NaN,NaN,58.812,20251118,09:39:49,2800
NaN,70.24256137,42204,BUY,NaN,70.3566129,688122.SH,-13.87173693,2.36124243,NaN,NaN,70.34,20251118,09:37:03,600
NaN,59.47486394,71503.2,BUY,NaN,59.55748968,688147.SH,-18.68622351,-4.787024322,NaN,NaN,59.586,20251118,09:39:06,1200
NaN,11.71833253,39861.6,BUY,NaN,11.73047535,688148.SH,-4.836417051,5.520110464,NaN,NaN,11.724,20251118,09:39:03,3400
NaN,66.48998645,39966,BUY,NaN,66.7489118,688155.SH,-18.04986888,20.81109559,NaN,NaN,66.61,20251118,09:37:07,600
NaN,23.42244318,42174,BUY,NaN,23.42381745,688186.SH,-3.226314024,-2.639428508,NaN,NaN,23.43,20251118,09:39:23,1800
NaN,6.531983617,219475.2,BUY,NaN,6.532406285,688223.SH,-0.025081395,0.621953188,NaN,NaN,6.532,20251118,09:40:01,33600
NaN,97.61370352,59158,BUY,NaN,98.60616692,688275.SH,-100.699298,0.963454066,NaN,NaN,98.59666667,20251118,09:37:02,600
NaN,30.6027405,165261.6,BUY,NaN,30.62041397,688303.SH,-0.411563619,5.360465029,NaN,NaN,30.604,20251118,09:39:07,5400
NaN,34.44546437,65524.27,BUY,NaN,34.49220722,688339.SH,-11.90099475,1.666847963,NaN,NaN,34.48645789,20251118,09:39:01,1900
NaN,65.41364912,39548,BUY,NaN,65.97521828,688348.SH,-76.38837113,9.380029247,NaN,NaN,65.91333333,20251118,09:37:03,600
NaN,27.01353139,54052,BUY,NaN,27.01353139,688349.SH,-4.615690671,-4.615690671,NaN,NaN,27.026,20251118,09:40:01,2000
NaN,130.2655752,78518,BUY,NaN,131.0592903,688353.SH,-45.88765406,14.9517766,NaN,NaN,130.8633333,20251118,09:37:01,600
NaN,38.79329763,108847.2,BUY,NaN,38.83873233,688388.SH,-20.80317265,-9.080540048,NaN,NaN,38.874,20251118,09:39:01,2800
NaN,62.04459946,87225.6,BUY,NaN,62.0462531,688390.SH,-41.80872109,-41.54108979,NaN,NaN,62.304,20251118,09:40:01,1400
NaN,105.3071869,42004,BUY,NaN,105.1928947,688392.SH,28.22095175,17.38660236,NaN,NaN,105.01,20251118,09:36:06,400
NaN,51.06211639,61384.8,BUY,NaN,51.13609591,688408.SH,-17.9944781,-3.501261738,NaN,NaN,51.154,20251118,09:39:06,1200
NaN,17.04993867,17104,BUY,NaN,17.08525155,688429.SH,-31.70764166,-10.97347012,NaN,NaN,17.104,20251118,09:39:19,1000
NaN,19.25979092,239518.4,BUY,NaN,19.27719435,688472.SH,-29.18467859,-20.13034306,NaN,NaN,19.316,20251118,09:39:32,12400
NaN,60.24412157,60184,BUY,NaN,60.2745948,688499.SH,9.979657915,15.03034658,NaN,NaN,60.184,20251118,09:39:01,1000
NaN,56.05628302,78503.6,BUY,NaN,56.09371182,688503.SH,-3.160569703,3.514087172,NaN,NaN,56.074,20251118,09:39:04,1400
