order_id,direction,volume,price,match_amount,order_time,trade_time,latency_ms,delta_position
PASSIVE_1069,B,300,16.95,5085.0,2024-01-02 10:21:09.000,2024-01-02 10:21:09.000,0.0,15300
PASSIVE_MKT_1070,B,300,16.95,5085.0,2024-01-02 10:21:09.000,2024-01-02 10:21:09.000,0.0,15600
PASSIVE_1071,B,300,16.95,5085.0,2024-01-02 10:22:09.000,2024-01-02 10:22:09.000,0.0,15900
PASSIVE_1072,B,300,16.95,5085.0,2024-01-02 10:23:09.000,2024-01-02 10:23:09.000,0.0,16200
PASSIVE_MKT_1075,B,300,16.95,5085.0,2024-01-02 10:25:09.000,2024-01-02 10:25:09.000,0.0,16500
PASSIVE_1074,B,300,16.94,5082.0,2024-01-02 10:25:09.000,2024-01-02 10:25:37.000,28000.0,16800
PASSIVE_1076,B,300,16.94,5082.0,2024-01-02 10:26:09.000,2024-01-02 10:26:47.100,38100.0,17100
PASSIVE_1077,B,300,16.96,5088.0,2024-01-02 10:27:09.000,2024-01-02 10:27:09.000,0.0,17400
PASSIVE_1078,B,300,16.96,5088.0,2024-01-02 10:28:09.000,2024-01-02 10:28:09.000,0.0,17700
PASSIVE_1079,B,300,16.96,5088.0,2024-01-02 10:29:09.000,2024-01-02 10:29:10.940,1940.0,18000
PASSIVE_MKT_1082,B,300,16.98,5094.0,2024-01-02 10:31:09.000,2024-01-02 10:31:09.000,0.0,18300
PASSIVE_MKT_1084,B,300,17.0,5100.0,2024-01-02 10:32:09.000,2024-01-02 10:32:09.000,0.0,18600
PASSIVE_MKT_1086,B,300,17.02,5106.0,2024-01-02 10:33:09.000,2024-01-02 10:33:09.000,0.0,18900
PASSIVE_1085,B,300,17.01,5103.000000000001,2024-01-02 10:33:09.000,2024-01-02 10:33:12.660,3660.0,19200
PASSIVE_1087,B,300,17.0,5100.0,2024-01-02 10:34:09.000,2024-01-02 10:34:45.530,36530.0,19500
PASSIVE_1088,B,300,17.01,5103.000000000001,2024-01-02 10:35:09.000,2024-01-02 10:35:09.000,0.0,19800
PASSIVE_MKT_1091,B,300,17.05,5115.0,2024-01-02 10:37:09.000,2024-01-02 10:37:09.000,0.0,20100
PASSIVE_MKT_1093,B,300,17.09,5127.0,2024-01-02 10:38:09.000,2024-01-02 10:38:09.200,200.0,20400
PASSIVE_MKT_1095,B,300,17.09,5127.0,2024-01-02 10:39:09.000,2024-01-02 10:39:09.000,0.0,20700
PASSIVE_MKT_1097,B,300,17.1,5130.0,2024-01-02 10:40:09.000,2024-01-02 10:40:09.000,0.0,21000
PASSIVE_1096,B,300,17.09,5127.0,2024-01-02 10:40:09.000,2024-01-02 10:40:12.750,3750.0,21300
PASSIVE_1098,B,300,17.08,5123.999999999999,2024-01-02 10:41:09.000,2024-01-02 10:41:15.440,6440.0,21600
PASSIVE_1099,B,300,17.05,5115.0,2024-01-02 10:42:09.000,2024-01-02 10:42:16.360,7360.0,21900
PASSIVE_MKT_1102,B,300,17.05,5115.0,2024-01-02 10:44:09.000,2024-01-02 10:44:09.000,0.0,22200
PASSIVE_1101,B,300,17.04,5112.0,2024-01-02 10:44:09.000,2024-01-02 10:44:54.850,45850.0,22500
PASSIVE_1103,B,300,17.04,5112.0,2024-01-02 10:45:09.000,2024-01-02 10:45:17.190,8189.999999999999,22800
PASSIVE_1104,B,300,17.04,5112.0,2024-01-02 10:46:09.000,2024-01-02 10:46:44.030,35030.0,23100
PASSIVE_1105,B,300,17.04,5112.0,2024-01-02 10:47:09.000,2024-01-02 10:47:13.200,4200.0,23400
PASSIVE_1106,B,300,17.02,5106.0,2024-01-02 10:48:09.000,2024-01-02 10:48:58.700,49700.0,23700
PASSIVE_1107,B,300,17.01,5103.000000000001,2024-01-02 10:49:09.000,2024-01-02 10:49:21.440,12440.0,24000
PASSIVE_1108,B,300,17.01,5103.000000000001,2024-01-02 10:50:09.000,2024-01-02 10:50:29.790,20790.0,24300
PASSIVE_1109,B,300,17.01,5103.000000000001,2024-01-02 10:51:09.000,2024-01-02 10:51:20.230,11230.0,24600
PASSIVE_MKT_1112,B,300,17.01,5103.000000000001,2024-01-02 10:53:09.000,2024-01-02 10:53:09.000,0.0,24900
PASSIVE_1111,B,300,17.0,5100.0,2024-01-02 10:53:09.000,2024-01-02 10:54:07.990,58990.0,25200
PASSIVE_1113,B,300,17.0,5100.0,2024-01-02 10:54:09.000,2024-01-02 10:54:16.700,7700.0,25500
PASSIVE_1114,B,300,16.98,5094.0,2024-01-02 10:55:09.000,2024-01-02 10:55:33.790,24790.0,25800
PASSIVE_1115,B,300,16.96,5088.0,2024-01-02 10:56:09.000,2024-01-02 10:56:16.540,7540.0,26100
PASSIVE_1116,B,300,16.95,5085.0,2024-01-02 10:57:09.000,2024-01-02 10:57:09.000,0.0,26400
PASSIVE_MKT_1119,B,300,16.95,5085.0,2024-01-02 10:59:09.000,2024-01-02 10:59:09.000,0.0,26700
PASSIVE_1118,B,300,16.94,5082.0,2024-01-02 10:59:09.000,2024-01-02 10:59:31.130,22130.0,27000
PASSIVE_1120,B,300,16.93,5079.0,2024-01-02 11:00:09.000,2024-01-02 11:00:14.070,5070.0,27300
PASSIVE_MKT_1123,B,300,16.94,5082.0,2024-01-02 11:02:09.000,2024-01-02 11:02:09.000,0.0,27600
PASSIVE_1124,B,300,16.94,5082.0,2024-01-02 11:03:09.000,2024-01-02 11:03:09.000,0.0,27900
PASSIVE_MKT_1125,B,300,16.94,5082.0,2024-01-02 11:03:09.000,2024-01-02 11:03:09.000,0.0,28200
PASSIVE_MKT_1128,B,300,16.95,5085.0,2024-01-02 11:05:09.000,2024-01-02 11:05:09.000,0.0,28500
PASSIVE_1127,B,300,16.94,5082.0,2024-01-02 11:05:09.000,2024-01-02 11:05:51.730,42730.0,28800
PASSIVE_1129,B,300,16.94,5082.0,2024-01-02 11:06:09.000,2024-01-02 11:06:09.760,760.0,29100
PASSIVE_MKT_1132,B,300,16.94,5082.0,2024-01-02 11:08:09.000,2024-01-02 11:08:09.000,0.0,29400
PASSIVE_MKT_1134,B,300,16.94,5082.0,2024-01-02 11:09:09.000,2024-01-02 11:09:09.000,0.0,29700
PASSIVE_MKT_1136,B,300,16.94,5082.0,2024-01-02 11:10:09.000,2024-01-02 11:10:09.000,0.0,30000
PASSIVE_1135,B,300,16.93,5079.0,2024-01-02 11:10:09.000,2024-01-02 11:10:28.120,19120.0,30300
PASSIVE_1137,B,300,16.92,5076.000000000001,2024-01-02 11:11:09.000,2024-01-02 11:11:23.510,14510.0,30600
PASSIVE_1138,B,300,16.92,5076.000000000001,2024-01-02 11:12:09.000,2024-01-02 11:12:15.660,6660.0,30900
PASSIVE_1139,B,300,16.93,5079.0,2024-01-02 11:13:09.000,2024-01-02 11:13:11.090,2090.0,31200
PASSIVE_MKT_1142,B,300,16.94,5082.0,2024-01-02 11:15:09.000,2024-01-02 11:15:09.000,0.0,31500
PASSIVE_1141,B,300,16.93,5079.0,2024-01-02 11:15:09.000,2024-01-02 11:15:21.110,12110.0,31800
PASSIVE_1144,B,300,16.95,5085.0,2024-01-02 11:17:09.000,2024-01-02 11:17:09.000,0.0,32100
PASSIVE_MKT_1145,B,300,16.95,5085.0,2024-01-02 11:17:09.000,2024-01-02 11:17:09.000,0.0,32400
PASSIVE_1147,B,300,16.95,5085.0,2024-01-02 11:19:09.000,2024-01-02 11:19:09.000,0.0,32700
PASSIVE_MKT_1148,B,300,16.95,5085.0,2024-01-02 11:19:09.000,2024-01-02 11:19:09.000,0.0,33000
PASSIVE_MKT_1151,B,300,16.95,5085.0,2024-01-02 11:21:09.000,2024-01-02 11:21:09.000,0.0,33300
PASSIVE_1150,B,300,16.94,5082.0,2024-01-02 11:21:09.000,2024-01-02 11:21:16.500,7500.0,33600
PASSIVE_MKT_1154,B,300,16.94,5082.0,2024-01-02 11:23:09.000,2024-01-02 11:23:09.000,0.0,33900
PASSIVE_MKT_1156,B,300,16.95,5085.0,2024-01-02 11:24:09.000,2024-01-02 11:24:09.000,0.0,34200
PASSIVE_1155,B,300,16.94,5082.0,2024-01-02 11:24:09.000,2024-01-02 11:24:44.620,35620.0,34500
PASSIVE_1157,B,300,16.94,5082.0,2024-01-02 11:25:09.000,2024-01-02 11:25:14.270,5270.0,34800
PASSIVE_1158,B,300,16.93,5079.0,2024-01-02 11:26:18.000,2024-01-02 11:26:18.000,0.0,35100
PASSIVE_1159,B,300,16.93,5079.0,2024-01-02 11:27:09.000,2024-01-02 11:27:09.000,0.0,35400
