order_id,action,direction,volume,price,old_position,new_position,position_change
PASSIVE_MKT_1142,trade,B,300,16.94,31200,31500,300
PASSIVE_1141,trade,B,300,16.93,31500,31800,300
PASSIVE_1144,trade,B,300,16.95,31800,32100,300
PASSIVE_MKT_1145,trade,B,300,16.95,32100,32400,300
PASSIVE_1147,trade,B,300,16.95,32400,32700,300
PASSIVE_MKT_1148,trade,B,300,16.95,32700,33000,300
PASSIVE_MKT_1151,trade,B,300,16.95,33000,33300,300
PASSIVE_1150,trade,B,300,16.94,33300,33600,300
PASSIVE_MKT_1154,trade,B,300,16.94,33600,33900,300
PASSIVE_MKT_1156,trade,B,300,16.95,33900,34200,300
PASSIVE_1155,trade,B,300,16.94,34200,34500,300
PASSIVE_1157,trade,B,300,16.94,34500,34800,300
PASSIVE_1158,trade,B,300,16.93,34800,35100,300
PASSIVE_1159,trade,B,300,16.93,35100,35400,300
PASSIVE_1160,trade,B,300,16.94,35400,35700,300
PASSIVE_1161,trade,B,300,16.94,35700,36000,300
PASSIVE_MKT_1163,trade,B,300,16.96,36000,36300,300
PASSIVE_1165,trade,B,300,16.95,36300,36600,300
PASSIVE_MKT_1166,trade,B,300,16.95,36600,36900,300
PASSIVE_1167,trade,B,300,16.95,36900,37200,300
PASSIVE_1168,trade,B,300,16.95,37200,37500,300
PASSIVE_MKT_1171,trade,B,300,16.98,37500,37800,300
PASSIVE_MKT_1173,trade,B,300,16.99,37800,38100,300
PASSIVE_MKT_1175,trade,B,300,16.99,38100,38400,300
PASSIVE_1176,trade,B,300,17.0,38400,38700,300
PASSIVE_MKT_1177,trade,B,300,17.0,38700,39000,300
PASSIVE_MKT_1180,trade,B,300,17.02,39000,39300,300
PASSIVE_MKT_1182,trade,B,300,17.01,39300,39600,300
PASSIVE_MKT_1184,trade,B,300,17.04,39600,39900,300
PASSIVE_MKT_1186,trade,B,300,17.04,39900,40200,300
PASSIVE_MKT_1188,trade,B,300,17.04,40200,40500,300
PASSIVE_1187,trade,B,300,17.03,40500,40800,300
PASSIVE_1189,trade,B,300,17.02,40800,41100,300
PASSIVE_1190,trade,B,300,17.01,41100,41400,300
PASSIVE_1191,trade,B,300,17.01,41400,41700,300
PASSIVE_1192,trade,B,300,17.01,41700,42000,300
PASSIVE_1194,trade,B,300,17.01,42000,42300,300
PASSIVE_MKT_1195,trade,B,300,17.01,42300,42600,300
PASSIVE_MKT_1198,trade,B,300,17.01,42600,42900,300
PASSIVE_MKT_1200,trade,B,300,17.01,42900,43200,300
PASSIVE_MKT_1202,trade,B,300,17.02,43200,43500,300
PASSIVE_1203,trade,B,300,17.01,43500,43800,300
PASSIVE_MKT_1204,trade,B,300,17.01,43800,44100,300
PASSIVE_MKT_1207,trade,B,300,17.04,44100,44400,300
PASSIVE_MKT_1209,trade,B,300,17.04,44400,44700,300
PASSIVE_1208,trade,B,300,17.03,44700,45000,300
PASSIVE_1210,trade,B,300,17.03,45000,45300,300
PASSIVE_1211,trade,B,300,17.03,45300,45600,300
PASSIVE_MKT_1214,trade,B,300,17.04,45600,45900,300
PASSIVE_1213,trade,B,300,17.03,45900,46200,300
PASSIVE_1215,trade,B,300,17.02,46200,46500,300
PASSIVE_1216,trade,B,300,17.0,46500,46800,300
PASSIVE_1217,trade,B,300,17.01,46800,47100,300
PASSIVE_1218,trade,B,300,17.0,47100,47400,300
PASSIVE_1219,trade,B,300,17.0,47400,47700,300
PASSIVE_1221,trade,B,300,17.01,47700,48000,300
PASSIVE_MKT_1222,trade,B,300,17.01,48000,48300,300
PASSIVE_1223,trade,B,300,17.01,48300,48600,300
PASSIVE_1224,trade,B,300,17.01,48600,48900,300
PASSIVE_MKT_1227,trade,B,300,17.01,48900,49200,300
PASSIVE_MKT_1229,trade,B,300,17.01,49200,49500,300
PASSIVE_MKT_1231,trade,B,300,17.01,49500,49800,300
PASSIVE_MKT_1233,trade,B,300,17.01,49800,50100,300
PASSIVE_1232,trade,B,300,17.0,50100,50400,300
PASSIVE_1234,trade,B,300,17.0,50400,50700,300
PASSIVE_1235,trade,B,300,16.99,50700,51000,300
PASSIVE_1236,trade,B,300,16.98,51000,51300,300
PASSIVE_1237,trade,B,300,16.98,51300,51600,300
PASSIVE_1238,trade,B,300,16.98,51600,51900,300
PASSIVE_1239,trade,B,300,16.98,51900,52200,300
PASSIVE_1241,trade,B,300,16.97,52200,52500,300
PASSIVE_MKT_1242,trade,B,300,16.97,52500,52800,300
PASSIVE_1243,trade,B,300,16.97,52800,53100,300
PASSIVE_MKT_1246,trade,B,300,16.99,53100,53400,300
PASSIVE_MKT_1248,trade,B,300,17.0,53400,53700,300
PASSIVE_MKT_1250,trade,B,300,17.0,53700,54000,300
PASSIVE_1249,trade,B,300,16.99,54000,54300,300
PASSIVE_1251,trade,B,300,16.99,54300,54600,300
PASSIVE_1252,trade,B,300,16.98,54600,54900,300
PASSIVE_1253,trade,B,300,16.98,54900,55200,300
PASSIVE_1254,trade,B,300,16.96,55200,55500,300
PASSIVE_1255,trade,B,300,16.96,55500,55800,300
PASSIVE_1256,trade,B,300,16.95,55800,56100,300
PASSIVE_1258,trade,B,300,16.95,56100,56400,300
PASSIVE_MKT_1259,trade,B,300,16.95,56400,56700,300
PASSIVE_1260,trade,B,300,16.94,56700,57000,300
PASSIVE_1261,trade,B,300,16.95,57000,57300,300
PASSIVE_1262,trade,B,300,16.96,57300,57600,300
PASSIVE_1263,trade,B,300,16.96,57600,57900,300
PASSIVE_1264,trade,B,300,16.95,57900,58200,300
PASSIVE_1265,trade,B,300,16.95,58200,58500,300
PASSIVE_1266,trade,B,300,16.94,58500,58800,300
PASSIVE_1267,trade,B,300,16.95,58800,59100,300
PASSIVE_1268,trade,B,300,16.94,59100,59400,300
PASSIVE_1269,trade,B,300,16.94,59400,59700,300
PASSIVE_1270,trade,B,300,16.94,59700,60000,300
PASSIVE_MKT_1273,trade,B,300,16.94,60000,60300,300
PASSIVE_1274,trade,B,300,16.94,60300,60600,300
PASSIVE_MKT_1275,trade,B,300,16.94,60600,60900,300
PASSIVE_1277,trade,B,300,16.94,60900,61200,300
PASSIVE_MKT_1278,trade,B,300,16.94,61200,61500,300
PASSIVE_1279,trade,B,300,16.94,61500,61800,300
PASSIVE_1280,trade,B,300,16.93,61800,62100,300
PASSIVE_MKT_1283,trade,B,300,16.94,62100,62400,300
PASSIVE_MKT_1285,trade,B,300,16.93,62400,62700,300
PASSIVE_MKT_1287,trade,B,300,16.93,62700,63000,300
PASSIVE_1286,trade,B,300,16.92,63000,63300,300
PASSIVE_1288,trade,B,300,16.93,63300,63600,300
PASSIVE_MKT_1291,trade,B,300,16.95,63600,63900,300
PASSIVE_1292,trade,B,300,16.95,63900,64200,300
PASSIVE_MKT_1293,trade,B,300,16.95,64200,64500,300
PASSIVE_1294,trade,B,300,16.93,64500,64800,300
PASSIVE_1296,trade,B,300,16.94,64800,65100,300
PASSIVE_MKT_1297,trade,B,300,16.94,65100,65400,300
PASSIVE_MKT_1300,trade,B,300,16.93,65400,65700,300
PASSIVE_1301,trade,B,300,16.93,65700,66000,300
PASSIVE_MKT_1302,trade,B,300,16.93,66000,66300,300
PASSIVE_1304,trade,B,300,16.93,66300,66600,300
PASSIVE_MKT_1305,trade,B,300,16.93,66600,66900,300
PASSIVE_1306,trade,B,300,16.91,66900,67200,300
PASSIVE_1308,trade,B,300,16.9,67200,67500,300
PASSIVE_MKT_1309,trade,B,300,16.9,67500,67800,300
PASSIVE_1310,trade,B,300,16.9,67800,68100,300
PASSIVE_1311,trade,B,300,16.91,68100,68400,300
PASSIVE_1312,trade,B,300,16.91,68400,68700,300
PASSIVE_1313,trade,B,300,16.89,68700,69000,300
PASSIVE_MKT_1316,trade,B,300,16.92,69000,69300,300
PASSIVE_1315,trade,B,300,16.91,69300,69600,300
PASSIVE_1317,trade,B,300,16.91,69600,69900,300
PASSIVE_MKT_1320,trade,B,300,16.91,69900,70200,300
PASSIVE_MKT_1322,trade,B,300,16.92,70200,70500,300
PASSIVE_1321,trade,B,300,16.91,70500,70800,300
PASSIVE_1323,trade,B,300,16.9,70800,71100,300
PASSIVE_1324,trade,B,300,16.9,71100,71400,300
