Date,StockCode,File
2025-11-25,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:14120
2025-11-25,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:14121
2025-11-25,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:14123
2025-11-25,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:14124
2025-11-25,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:14126
2025-11-25,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:14128
2025-11-25,300474.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:19338
2025-11-25,300474.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:19339
2025-11-25,300474.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:19341
2025-11-25,300474.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:19342
2025-11-25,300474.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:19344
2025-11-25,300474.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:19345
2025-11-25,300474.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:19347
2025-11-25,300170.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:28095
2025-11-25,300170.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:28096
2025-11-25,300170.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:28098
2025-11-25,300170.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:28099
2025-11-25,300170.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:28101
2025-11-25,300170.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:28102
2025-11-25,300170.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:28104
2025-11-25,300170.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:28105
2025-11-25,300170.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:28107
2025-11-25,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-25.log:28109
2025-11-26,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:843
2025-11-26,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:844
2025-11-26,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:846
2025-11-26,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:847
2025-11-26,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:849
2025-11-26,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:850
2025-11-26,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:852
2025-11-26,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:853
2025-11-26,300442.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:855
2025-11-26,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:857
2025-11-26,300895.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:6706
2025-11-26,300895.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:6707
2025-11-26,300895.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:6709
2025-11-26,300895.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:6710
2025-11-26,300895.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:6712
2025-11-26,300895.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:6713
2025-11-26,300895.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:6715
2025-11-26,300895.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_opponent/2025-11-26.log:6716
