Date,StockCode,File
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-11-17.log:308
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-11-17.log:310
2025-11-17,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-11-17.log:312
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-11-17.log:8474
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-11-17.log:8475
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-11-17.log:8477
2025-11-17,688707.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-11-17.log:8559
2025-11-19,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-11-19.log:1947
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-08.log:19642
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-08.log:19643
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-08.log:19645
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-08.log:19646
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-08.log:19648
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-08.log:19649
2025-12-08,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-08.log:19651
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-08.log:20548
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-08.log:20550
2025-12-08,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-08.log:20552
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-11.log:23690
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-11.log:23691
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-11.log:23693
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-11.log:23694
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-11.log:23696
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-11.log:23697
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-11.log:23699
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-11.log:23700
2025-12-11,600105.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-11.log:23702
2025-12-11,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-11.log:23704
2025-12-12,301205.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_mid_own/2025-12-12.log:93
2025-11-17,688518.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:160
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:290
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:291
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:293
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:294
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:296
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:297
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:299
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:300
2025-11-17,300390.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:302
2025-11-17,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:304
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:8462
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:8463
2025-11-17,688005.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:8465
2025-11-17,688707.SH,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-17.log:8541
2025-11-19,Unknown,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-11-19.log:1916
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-08.log:19601
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-08.log:19602
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-08.log:19604
2025-12-08,300342.SZ,/mnt/team/research-share/huangchunyang/etfmm_oe/wangcai_log_v2/passive_opponent/2025-12-08.log:19605
