Exchange,Instrument,Time,Last,BidPrice,AskPrice,BidVolume,AskVolume,Volume
1,000488.SZ,92206000,0,"[32300, 0, 0, 0, 0, 32300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[62300, 0, 0, 0, 0, 62300, 139900, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92242000,0,"[32300, 0, 0, 0, 0, 32300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[62300, 0, 0, 0, 0, 62300, 143000, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92251000,0,"[32300, 0, 0, 0, 0, 32300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[64300, 0, 0, 0, 0, 64300, 143000, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92300000,0,"[32200, 0, 0, 0, 0, 32200, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[72500, 49300, 0, 0, 0, 72500, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92327000,0,"[32200, 0, 0, 0, 0, 32200, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[86400, 36400, 0, 0, 0, 86400, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92354000,0,"[32200, 0, 0, 0, 0, 32200, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[86500, 36300, 0, 0, 0, 86500, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92403000,0,"[32200, 0, 0, 0, 0, 32200, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[86900, 37900, 0, 0, 0, 86900, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92412000,0,"[32200, 0, 0, 0, 0, 32200, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[98600, 26400, 0, 0, 0, 98600, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92421000,0,"[32200, 0, 0, 0, 0, 32200, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100300, 24700, 0, 0, 0, 100300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92439000,0,"[32000, 0, 0, 0, 0, 32000, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[275000, 195300, 0, 0, 0, 275000, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92448000,0,"[32000, 0, 0, 0, 0, 32000, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[275000, 199500, 0, 0, 0, 275000, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92457000,0,"[32000, 0, 0, 0, 0, 32000, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[327300, 169700, 0, 0, 0, 327300, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,000488.SZ,92500000,0,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30700, 17031000000, 0, 0, 0, 0, 0, 0, 0, 0]","[168700, 55500, 217100, 44200, 120300, 16400, 90400, 443800, 81850, 41600]","[3, 4141150, 0, 0, 0, 0, 0, 0, 0, 0]",330700
1,000488.SZ,92642000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30700, 17031000000, 0, 0, 0, 0, 0, 0, 0, 0]","[168700, 55500, 217100, 44200, 120300, 16400, 90400, 443800, 81850, 41600]","[3, 4141150, 0, 0, 0, 0, 0, 0, 0, 0]",330700
1,000488.SZ,92742000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30700, 17031000000, 0, 0, 0, 0, 0, 0, 0, 0]","[168700, 55500, 217100, 44200, 120300, 16400, 90400, 443800, 81850, 41600]","[3, 4141150, 0, 0, 0, 0, 0, 0, 0, 0]",330700
1,000488.SZ,92842000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30700, 17031000000, 0, 0, 0, 0, 0, 0, 0, 0]","[168700, 55500, 217100, 44200, 120300, 16400, 90400, 443800, 81850, 41600]","[3, 4141150, 0, 0, 0, 0, 0, 0, 0, 0]",330700
1,000488.SZ,92942000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30700, 17031000000, 0, 0, 0, 0, 0, 0, 0, 0]","[168700, 55500, 217100, 44200, 120300, 16400, 90400, 443800, 81850, 41600]","[3, 4141150, 0, 0, 0, 0, 0, 0, 0, 0]",330700
1,000488.SZ,93000000,32000,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30600, 16129000000, 0, 0, 0, 0, 0, 0, 0, 0]","[59600, 239600, 57300, 149300, 58700, 356800, 29200, 99300, 788300, 81850]","[3, 4633350, 0, 0, 0, 0, 0, 0, 0, 0]",629600
1,000488.SZ,93003000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31000, 26082000000, 0, 0, 0, 0, 0, 0, 0, 0]","[389500, 191200, 183800, 229000, 204800, 50800, 222000, 505300, 94550, 48100]","[3, 4393250, 0, 0, 0, 0, 0, 0, 0, 0]",1283800
1,000488.SZ,93006000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30900, 24699000000, 0, 0, 0, 0, 0, 0, 0, 0]","[42100, 200700, 189200, 236200, 297900, 22400, 266100, 515500, 102050, 48100]","[3, 4579350, 0, 0, 0, 0, 0, 0, 0, 0]",1491600
1,000488.SZ,93009000,32100,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30900, 25343000000, 0, 0, 0, 0, 0, 0, 0, 0]","[46000, 203600, 192700, 245700, 298400, 14900, 266100, 517200, 102550, 65100]","[3, 4664150, 0, 0, 0, 0, 0, 0, 0, 0]",1517100
1,000488.SZ,93012000,32100,"[32100, 32000, 31900, 31800, 31700, 32200, 32300, 32400, 32500, 32600]","[30900, 25448000000, 0, 0, 0, 0, 0, 0, 0, 0]","[11900, 41800, 198500, 182700, 252700, 266600, 517200, 95750, 69100, 135300]","[3, 4656950, 0, 0, 0, 0, 0, 0, 0, 0]",1556200
1,000488.SZ,93015000,32000,"[32100, 32000, 31900, 31800, 31700, 32200, 32300, 32400, 32500, 32600]","[30900, 25615000000, 0, 0, 0, 0, 0, 0, 0, 0]","[31400, 41700, 192600, 183700, 252700, 271000, 509200, 95750, 69100, 135400]","[3, 4653450, 0, 0, 0, 0, 0, 0, 0, 0]",1572500
1,000488.SZ,93018000,32100,"[32100, 32000, 31900, 31800, 31700, 32200, 32300, 32400, 32500, 32600]","[30900, 25498000000, 0, 0, 0, 0, 0, 0, 0, 0]","[13600, 46800, 188600, 188200, 253200, 277700, 509200, 95750, 69100, 135400]","[3, 4666950, 0, 0, 0, 0, 0, 0, 0, 0]",1607900
1,000488.SZ,93021000,32100,"[32100, 32000, 31900, 31800, 31700, 32200, 32300, 32400, 32500, 32600]","[30900, 26083000000, 0, 0, 0, 0, 0, 0, 0, 0]","[65300, 55800, 188600, 188200, 254200, 283300, 509200, 93850, 69100, 150600]","[3, 4685850, 0, 0, 0, 0, 0, 0, 0, 0]",1625100
1,000488.SZ,93024000,32100,"[32100, 32000, 31900, 31800, 31700, 32200, 32300, 32400, 32500, 32600]","[30900, 26681000000, 0, 0, 0, 0, 0, 0, 0, 0]","[66800, 61500, 188600, 198200, 254200, 273700, 509200, 63850, 69100, 150600]","[3, 4646250, 0, 0, 0, 0, 0, 0, 0, 0]",1625600
1,000488.SZ,93027000,32100,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30900, 26068000000, 0, 0, 0, 0, 0, 0, 0, 0]","[67000, 188600, 198200, 254200, 323600, 12000, 274900, 509200, 63850, 69100]","[3, 4664450, 0, 0, 0, 0, 0, 0, 0, 0]",1694400
